year_film,year_ceremony,ceremony,category,canon_category,name,film,winner
2002,2003,75,ART DIRECTION,ART DIRECTION,Dante Ferretti/Francesca Lo Schiavo,Gangs of New York,False
2002,2003,75,ART DIRECTION,ART DIRECTION,Grant Major/Dan Hennah/Alan Lee,The Lord of the Rings: The Two Towers,False
2002,2003,75,CINEMATOGRAPHY,CINEMATOGRAPHY,Michael Ballhaus,Gangs of New York,False
2002,2003,75,CINEMATOGRAPHY,CINEMATOGRAPHY,Pawel Edelman,The Pianist,False
2002,2003,75,COSTUME DESIGN,COSTUME DESIGN,Sandy Powell,Gangs of New York,False
2002,2003,75,COSTUME DESIGN,COSTUME DESIGN,Anna Sheppard,The Pianist,False
2002,2003,75,DIRECTING,DIRECTING,Martin Scorsese,Gangs of New York,False
2002,2003,75,DIRECTING,DIRECTING,Roman Polanski,The Pianist,True
2002,2003,75,FILM EDITING,FILM EDITING,Thelma Schoonmaker,Gangs of New York,False
2002,2003,75,FILM EDITING,FILM EDITING,Michael Horton,The Lord of the Rings: The Two Towers,False
2002,2003,75,FILM EDITING,FILM EDITING,Hervé de Luze,The Pianist,False
2002,2003,75,FOREIGN LANGUAGE FILM,INTERNATIONAL FEATURE FILM,People's Republic of China,Hero,False
2002,2003,75,MAKEUP,MAKEUP AND HAIRSTYLING,John M. Elliott Jr./Barbara Lorenz,The Time Machine,False
2002,2003,75,MUSIC (Original Score),MUSIC (Original Score),John Williams,Catch Me If You Can,False
2002,2003,75,MUSIC (Original Song),MUSIC (Original Song),Bono/The Edge/Adam Clayton/Larry Mullen,Gangs of New York,False
2002,2003,75,BEST PICTURE,BEST PICTURE,Alberto Grimaldi/Harvey Weinstein,Gangs of New York,False
2002,2003,75,BEST PICTURE,BEST PICTURE,Barrie M. Osborne/Fran Walsh/Peter Jackson,The Lord of the Rings: The Two Towers,False
2002,2003,75,BEST PICTURE,BEST PICTURE,Roman Polanski/Robert Benmussa/Alain Sarde,The Pianist,False
2002,2003,75,SOUND,SOUND MIXING,Tom Fleischman/Eugene Gearty/Ivan Sharrock,Gangs of New York,False
2002,2003,75,SOUND,SOUND MIXING,Christopher Boyes/Michael Semanick/Michael Hedges/Hammond Peek,The Lord of the Rings: The Two Towers,False
2002,2003,75,SOUND EDITING,SOUND EDITING,Ethan Van der Ryn/Michael Hopkins,The Lord of the Rings: The Two Towers,True
2002,2003,75,VISUAL EFFECTS,VISUAL EFFECTS,Jim Rygiel/Joe Letteri/Randall William Cook/Alex Funke,The Lord of the Rings: The Two Towers,True
2002,2003,75,WRITING (Adapted Screenplay),WRITING (Adapted Screenplay),Peter Hedges/Chris Weitz/Paul Weitz,About a Boy,False
2002,2003,75,WRITING (Adapted Screenplay),WRITING (Adapted Screenplay),Ronald Harwood,The Pianist,True
2002,2003,75,WRITING (Original Screenplay),WRITING (Original Screenplay),Jay Cocks/Steve Zaillian/Kenneth Lonergan,Gangs of New York,False
2002,2003,75,WRITING (Original Screenplay),WRITING (Original Screenplay),Carlos Cuarón/Alfonso Cuarón,Y Tu Mamá También,False
2003,2004,76,ACTOR IN A LEADING ROLE,ACTOR IN A LEADING ROLE,Jude Law,Cold Mountain,False
2003,2004,76,ACTOR IN A LEADING ROLE,ACTOR IN A LEADING ROLE,Sean Penn,Mystic River,True
2003,2004,76,ACTOR IN A SUPPORTING ROLE,ACTOR IN A SUPPORTING ROLE,Tim Robbins,Mystic River,True
2003,2004,76,ACTRESS IN A LEADING ROLE,ACTRESS IN A LEADING ROLE,Diane Keaton,Something's Gotta Give,False
2003,2004,76,ACTRESS IN A LEADING ROLE,ACTRESS IN A LEADING ROLE,Charlize Theron,Monster,True
2003,2004,76,ACTRESS IN A SUPPORTING ROLE,ACTRESS IN A SUPPORTING ROLE,Marcia Gay Harden,Mystic River,False
2003,2004,76,ACTRESS IN A SUPPORTING ROLE,ACTRESS IN A SUPPORTING ROLE,Renée Zellweger,Cold Mountain,True
2003,2004,76,ART DIRECTION,ART DIRECTION,Grant Major/Dan Hennah/Alan Lee,The Lord of the Rings: The Return of the King,True
2003,2004,76,ART DIRECTION,ART DIRECTION,Jeannine Oppewall/Leslie Pope,Seabiscuit,False
2003,2004,76,CINEMATOGRAPHY,CINEMATOGRAPHY,Cesar Charlone,City of God,False
2003,2004,76,CINEMATOGRAPHY,CINEMATOGRAPHY,John Seale,Cold Mountain,False
2003,2004,76,CINEMATOGRAPHY,CINEMATOGRAPHY,John Schwartzman,Seabiscuit,False
2003,2004,76,COSTUME DESIGN,COSTUME DESIGN,Ngila Dickson/Richard Taylor,The Lord of the Rings: The Return of the King,True
2003,2004,76,COSTUME DESIGN,COSTUME DESIGN,Judianna Makovsky,Seabiscuit,False
2003,2004,76,DIRECTING,DIRECTING,Fernando Meirelles,City of God,False
2003,2004,76,DIRECTING,DIRECTING,Peter Jackson,The Lord of the Rings: The Return of the King,True
2003,2004,76,DIRECTING,DIRECTING,Clint Eastwood,Mystic River,False
2003,2004,76,FILM EDITING,FILM EDITING,Daniel Rezende,City of God,False
2003,2004,76,FILM EDITING,FILM EDITING,Walter Murch,Cold Mountain,False
2003,2004,76,FILM EDITING,FILM EDITING,Jamie Selkirk,The Lord of the Rings: The Return of the King,True
2003,2004,76,FILM EDITING,FILM EDITING,William Goldenberg,Seabiscuit,False
